status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),radio/television,1339,A65,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",75,bank,own,1,unskilled - resident,1,none,yes,0.172
no checking account,16,existing credits paid back duly till now,car (used),2582,A65,.. >= 7 years,3,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.174
no checking account,24,existing credits paid back duly till now,car (used),6259,A65,.. >= 7 years,3,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",41,bank,rent,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.108
no checking account,24,existing credits paid back duly till now,car (used),6297,A63,.. >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,41,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.151
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),8431,A65,unemployed,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.26
no checking account,53,existing credits paid back duly till now,car (used),6331,A65,.. >= 7 years,3,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",75,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.258
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),2201,A65,... < 1 year,1,male : single,none,3,real estate,21,none,rent,2,unskilled - resident,2,none,no,0.202
... < 0 DM,7,critical account/ other credits existing (not at this bank),retraining,933,A61,... < 1 year,1,female : divorced/separated/married,none,3,real estate,48,none,rent,2,unskilled - resident,2,"yes, registered under the customers name",no,0.16
0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),car (new),3301,A61,1 <= ... < 4 years,1,male : single,none,3,unknown / no property,49,bank,rent,4,unskilled - resident,2,none,no,0.229
... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2248,A61,4 <= ... < 7 years,1,male : single,none,4,real estate,48,none,rent,4,skilled employee / official,2,none,no,0.244
... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2287,A61,... < 1 year,4,male : single,none,4,real estate,75,none,rent,4,unskilled - resident,2,"yes, registered under the customers name",no,0.307
no checking account,7,existing credits paid back duly till now,furniture/equipment,3055,A63,.. >= 7 years,4,male : single,none,3,unknown / no property,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.194
no checking account,24,existing credits paid back duly till now,furniture/equipment,276,A63,.. >= 7 years,4,male : single,none,3,unknown / no property,32,bank,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.134
no checking account,24,existing credits paid back duly till now,furniture/equipment,3535,A63,.. >= 7 years,4,male : single,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.217
no checking account,34,existing credits paid back duly till now,furniture/equipment,8571,A65,.. >= 7 years,4,male : single,none,4,unknown / no property,39,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.167
no checking account,60,existing credits paid back duly till now,furniture/equipment,3077,A63,.. >= 7 years,4,male : single,none,3,unknown / no property,60,none,rent,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.253
no checking account,4,critical account/ other credits existing (not at this bank),furniture/equipment,276,A61,4 <= ... < 7 years,1,female : divorced/separated/married,none,3,real estate,23,none,rent,4,skilled employee / official,1,none,yes,0.126
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2201,A61,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,bank,own,4,skilled employee / official,1,"yes, registered under the customers name",no,0.122
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),furniture/equipment,2113,A61,... < 1 year,1,male : married/widowed,none,4,real estate,19,none,rent,2,skilled employee / official,2,none,yes,0.146
no checking account,10,critical account/ other credits existing (not at this bank),retraining,7070,A61,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,4,skilled employee / official,1,none,yes,0.168
no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,2107,A61,... < 1 year,4,female : divorced/separated/married,none,3,real estate,36,none,rent,4,skilled employee / official,2,none,yes,0.274
0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),radio/television,1326,A61,4 <= ... < 7 years,4,male : single,none,3,real estate,20,none,own,2,skilled employee / official,1,none,yes,0.144
... >= 200 DM / salary assignments for at least 1 year,7,existing credits paid back duly till now,others,1084,A65,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,29,none,own,4,skilled employee / official,1,none,no,0.269
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,276,A61,4 <= ... < 7 years,4,male : married/widowed,guarantor,3,real estate,30,stores,own,4,skilled employee / official,1,none,no,0.285
0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,1115,A61,4 <= ... < 7 years,4,male : single,guarantor,4,unknown / no property,29,bank,rent,4,skilled employee / official,1,"yes, registered under the customers name",no,0.16
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1088,A61,4 <= ... < 7 years,4,male : single,none,4,real estate,68,none,own,4,skilled employee / official,2,"yes, registered under the customers name",no,0.178
no checking account,6,critical account/ other credits existing (not at this bank),business,2291,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.179
no checking account,12,critical account/ other credits existing (not at this bank),business,276,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",42,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.133
... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),business,2281,A61,unemployed,4,male : married/widowed,none,4,if not A121 : building society savings agreement/ life insurance,42,stores,own,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.07
no checking account,12,critical account/ other credits existing (not at this bank),business,2378,A61,unemployed,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",75,stores,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.245
no checking account,60,critical account/ other credits existing (not at this bank),business,2281,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",42,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.244
no checking account,4,existing credits paid back duly till now,furniture/equipment,3408,A61,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,19,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,0.123
no checking account,18,existing credits paid back duly till now,furniture/equipment,3461,A65,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,47,bank,rent,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.096
no checking account,18,existing credits paid back duly till now,retraining,276,A61,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,47,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.079
... >= 200 DM / salary assignments for at least 1 year,20,existing credits paid back duly till now,furniture/equipment,5106,A61,.. >= 7 years,4,male : single,none,4,real estate,56,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.106
no checking account,58,existing credits paid back duly till now,furniture/equipment,3545,A61,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,75,bank,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.205
no checking account,6,delay in paying off in the past,car (used),526,A61,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,20,none,rent,1,skilled employee / official,1,none,yes,0.155
no checking account,15,delay in paying off in the past,car (used),1544,A61,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.06
... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (used),1583,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,41,none,rent,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.13
no checking account,12,no credits taken/ all credits paid back duly,others,3441,A64,.. >= 7 years,4,male : married/widowed,none,4,real estate,48,none,rent,1,skilled employee / official,1,none,yes,0.125
no checking account,32,delay in paying off in the past,car (used),1450,A61,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,75,none,rent,4,skilled employee / official,2,none,yes,0.224
no checking account,7,existing credits paid back duly till now,furniture/equipment,3055,A63,.. >= 7 years,4,male : single,none,3,unknown / no property,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.194
no checking account,24,existing credits paid back duly till now,furniture/equipment,276,A63,.. >= 7 years,4,male : single,none,3,unknown / no property,32,bank,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.134
no checking account,24,existing credits paid back duly till now,furniture/equipment,3535,A63,.. >= 7 years,4,male : single,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.217
no checking account,34,existing credits paid back duly till now,furniture/equipment,8571,A65,.. >= 7 years,4,male : single,none,4,unknown / no property,39,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.167
no checking account,60,existing credits paid back duly till now,furniture/equipment,3077,A63,.. >= 7 years,4,male : single,none,3,unknown / no property,60,none,rent,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.253
no checking account,10,no credits taken/ all credits paid back duly,car (new),1357,A61,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",53,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.165
no checking account,4,existing credits paid back duly till now,car (new),401,A61,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",64,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.12
no checking account,10,existing credits paid back duly till now,car (new),5737,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",75,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.24
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1310,A61,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,64,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.097
no checking account,55,existing credits paid back duly till now,car (new),1438,A61,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",64,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.256
... >= 200 DM / salary assignments for at least 1 year,11,critical account/ other credits existing (not at this bank),radio/television,3435,A61,1 <= ... < 4 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,0.228
no checking account,12,existing credits paid back duly till now,radio/television,276,A64,1 <= ... < 4 years,3,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,none,yes,0.337
no checking account,12,existing credits paid back duly till now,radio/television,1278,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,4,skilled employee / official,1,none,no,0.305
no checking account,12,existing credits paid back duly till now,radio/television,1310,A61,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.254
no checking account,35,existing credits paid back duly till now,radio/television,1233,A61,1 <= ... < 4 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0.271
... < 0 DM,8,no credits taken/ all credits paid back duly,radio/television,823,A61,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.126
... < 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6176,A61,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,none,no,0.351
... < 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6200,A61,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.141
... < 0 DM,12,no credits taken/ all credits paid back duly,car (used),6676,A61,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,31,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.14
... < 0 DM,19,no credits taken/ all credits paid back duly,radio/television,6765,A61,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,75,none,rent,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.182
0 <= ... < 200 DM,14,existing credits paid back duly till now,car (new),1120,A61,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,0.257
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),6310,A61,4 <= ... < 7 years,3,female : divorced/separated/married,none,3,real estate,52,none,rent,1,unskilled - resident,1,none,yes,0.218
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),6717,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,unskilled - resident,1,none,yes,0.213
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6258,A61,4 <= ... < 7 years,4,male : divorced/separated,none,4,real estate,23,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes,0.135
0 <= ... < 200 DM,50,critical account/ other credits existing (not at this bank),car (new),6424,A61,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,rent,4,unskilled - resident,2,none,yes,0.219
0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1561,A65,4 <= ... < 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.173
0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3994,A65,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.245
0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),retraining,3964,A65,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.078
0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,8585,A65,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0.284
0 <= ... < 200 DM,31,existing credits paid back duly till now,furniture/equipment,4021,A65,4 <= ... < 7 years,2,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",75,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.238
... < 0 DM,15,critical account/ other credits existing (not at this bank),car (used),2099,A62,4 <= ... < 7 years,1,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes,0.18
... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6163,A62,4 <= ... < 7 years,1,male : married/widowed,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",24,stores,for free,2,skilled employee / official,1,"yes, registered under the customers name",no,0.204
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (used),6192,A65,4 <= ... < 7 years,1,male : divorced/separated,none,4,unknown / no property,20,none,rent,4,skilled employee / official,1,none,yes,0.089
... < 0 DM,36,no credits taken/ all credits paid back duly,retraining,6234,A62,4 <= ... < 7 years,1,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,4,skilled employee / official,1,none,yes,0.202
... < 0 DM,60,critical account/ other credits existing (not at this bank),car (used),6270,A62,4 <= ... < 7 years,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,4,skilled employee / official,2,none,yes,0.222
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1539,A61,4 <= ... < 7 years,1,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0.065
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,2632,A61,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.068
no checking account,46,critical account/ other credits existing (not at this bank),radio/television,672,A61,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.08
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,9693,A61,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.081
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,1588,A61,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",75,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.086
... >= 200 DM / salary assignments for at least 1 year,7,all credits at this bank paid back duly,radio/television,1474,A65,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0.125
... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,car (used),276,A65,1 <= ... < 4 years,4,male : divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes,0.292
no checking account,18,no credits taken/ all credits paid back duly,radio/television,3354,A65,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,50,bank,own,1,unskilled - resident,1,none,yes,0.173
... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1490,A65,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",49,stores,rent,4,management/ self-employed/ highly qualified employee/ officer,2,none,yes,0.214
... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),radio/television,1339,A65,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",75,bank,own,1,unskilled - resident,1,none,yes,0.172
no checking account,54,no credits taken/ all credits paid back duly,car (used),5577,A65,1 <= ... < 4 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,0.153
... >= 200 DM / salary assignments for at least 1 year,53,no credits taken/ all credits paid back duly,car (used),9618,A65,1 <= ... < 4 years,3,male : divorced/separated,none,1,if not A121 : building society savings agreement/ life insurance,40,none,own,1,unskilled - resident,2,none,yes,0.185
no checking account,54,no credits taken/ all credits paid back duly,car (used),9414,A65,1 <= ... < 4 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,yes,0.36
no checking account,60,critical account/ other credits existing (not at this bank),car (used),9368,A65,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,39,none,own,4,unskilled - resident,2,none,yes,0.298
no checking account,54,no credits taken/ all credits paid back duly,car (used),10069,A65,1 <= ... < 4 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,75,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,0.227
... < 0 DM,28,critical account/ other credits existing (not at this bank),furniture/equipment,2621,A61,4 <= ... < 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,0.284
... < 0 DM,36,existing credits paid back duly till now,car (used),8094,A61,4 <= ... < 7 years,4,male : divorced/separated,none,2,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,0.258
0 <= ... < 200 DM,37,existing credits paid back duly till now,furniture/equipment,5309,A65,4 <= ... < 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,44,stores,rent,1,skilled employee / official,1,none,yes,0.184
... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,retraining,5119,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,29,bank,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.098
... < 0 DM,60,existing credits paid back duly till now,furniture/equipment,5229,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0.254
no checking account,10,no credits taken/ all credits paid back duly,car (new),1357,A61,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",53,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.165
no checking account,4,existing credits paid back duly till now,car (new),401,A61,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",64,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.12
no checking account,10,existing credits paid back duly till now,car (new),5737,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",75,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.24
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1310,A61,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,64,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.097
no checking account,55,existing credits paid back duly till now,car (new),1438,A61,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",64,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.256
no checking account,14,critical account/ other credits existing (not at this bank),radio/television,2266,A61,... < 1 year,3,male : married/widowed,none,3,unknown / no property,34,none,for free,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.116
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5056,A61,... < 1 year,3,male : married/widowed,co-applicant,3,unknown / no property,47,bank,own,4,skilled employee / official,1,none,no,0.321
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,11814,A61,... < 1 year,3,male : married/widowed,none,3,unknown / no property,56,none,for free,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.156
no checking account,23,critical account/ other credits existing (not at this bank),radio/television,5203,A61,... < 1 year,4,male : married/widowed,none,4,unknown / no property,75,none,for free,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.154
no checking account,60,critical account/ other credits existing (not at this bank),radio/television,5097,A61,... < 1 year,4,male : married/widowed,none,4,unknown / no property,47,none,for free,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.15
no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1160,A62,unemployed,4,female : divorced/separated/married,none,4,real estate,21,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,0.139
no checking account,5,critical account/ other credits existing (not at this bank),radio/television,1362,A64,1 <= ... < 4 years,4,male : divorced/separated,none,4,real estate,57,none,own,4,unskilled - resident,1,none,yes,0.248
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),retraining,276,A62,unemployed,4,female : divorced/separated/married,none,4,unknown / no property,57,none,own,4,unskilled - resident,1,none,yes,0.251
no checking account,11,no credits taken/ all credits paid back duly,radio/television,1268,A62,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,rent,4,management/ self-employed/ highly qualified employee/ officer,2,none,yes,0.233
no checking account,37,critical account/ other credits existing (not at this bank),radio/television,1179,A62,unemployed,4,female : divorced/separated/married,none,4,real estate,75,none,own,4,unskilled - resident,2,none,yes,0.372
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,2184,A63,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,0.198
0 <= ... < 200 DM,24,existing credits paid back duly till now,others,5632,A63,.. >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,21,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.201
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,3704,A65,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,38,bank,rent,1,unemployed/ unskilled - non-resident,1,none,yes,0.222
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3732,A63,unemployed,1,male : married/widowed,none,4,unknown / no property,23,none,rent,4,skilled employee / official,2,none,yes,0.267
0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3794,A63,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,0.205
no checking account,6,existing credits paid back duly till now,car (used),743,A62,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,0.266
no checking account,24,existing credits paid back duly till now,car (used),8515,A65,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,yes,0.242
no checking account,24,existing credits paid back duly till now,retraining,3513,A62,.. >= 7 years,4,male : married/widowed,none,4,real estate,25,none,own,4,skilled employee / official,1,none,yes,0.175
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (used),3493,A62,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.124
no checking account,60,existing credits paid back duly till now,car (used),3532,A62,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,2,none,yes,0.337
no checking account,7,critical account/ other credits existing (not at this bank),car (used),1102,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.126
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5238,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.156
no checking account,20,critical account/ other credits existing (not at this bank),car (used),3051,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.149
no checking account,33,critical account/ other credits existing (not at this bank),car (used),11293,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.192
