status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
... < 0 DM,49.0,all credits at this bank paid back duly,car (new),9454.0,A65,1 <= ... < 4 years,4.0,female : divorced/separated/married,co-applicant,3.0,if not A121 : building society savings agreement/ life insurance,59.0,stores,own,2.0,unskilled - resident,2.0,none,yes,0.242
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,retraining,276.0,A63,... < 1 year,1.0,male : married/widowed,co-applicant,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,1.0,unemployed/ unskilled - non-resident,1.0,none,no,0.795
... >= 200 DM / salary assignments for at least 1 year,4.0,delay in paying off in the past,furniture/equipment,276.0,A65,.. >= 7 years,1.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",23.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.793
no checking account,19.0,critical account/ other credits existing (not at this bank),retraining,3703.0,A61,... < 1 year,2.0,female : divorced/separated/married,guarantor,4.0,real estate,44.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.744
0 <= ... < 200 DM,60.0,delay in paying off in the past,furniture/equipment,7549.0,A63,... < 1 year,4.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.819
no checking account,38.0,existing credits paid back duly till now,car (new),15945.0,A65,... < 1 year,3.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,56.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.827
... < 0 DM,18.0,delay in paying off in the past,radio/television,9021.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,unknown / no property,28.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.105
... >= 200 DM / salary assignments for at least 1 year,4.0,delay in paying off in the past,retraining,276.0,A65,.. >= 7 years,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.83
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,car (new),276.0,A63,... < 1 year,4.0,male : single,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,41.0,none,rent,1.0,skilled employee / official,1.0,none,no,0.792
no checking account,24.0,existing credits paid back duly till now,retraining,2330.0,A65,1 <= ... < 4 years,4.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,63.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.826
no checking account,47.0,existing credits paid back duly till now,car (new),8203.0,A65,... < 1 year,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.708
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,education,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.864
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,business,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,no,0.028
no checking account,32.0,all credits at this bank paid back duly,radio/television,3613.0,A64,.. >= 7 years,1.0,female : divorced/separated/married,none,2.0,real estate,19.0,none,own,1.0,unskilled - resident,2.0,none,yes,0.194
... < 0 DM,48.0,critical account/ other credits existing (not at this bank),business,7820.0,A61,4 <= ... < 7 years,2.0,female : divorced/separated/married,guarantor,4.0,unknown / no property,31.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.052
... < 0 DM,60.0,all credits at this bank paid back duly,business,15107.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",50.0,stores,rent,1.0,skilled employee / official,2.0,none,no,0.2
no checking account,60.0,all credits at this bank paid back duly,repairs,15945.0,A62,.. >= 7 years,2.0,female : divorced/separated/married,guarantor,4.0,real estate,75.0,bank,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.051
... < 0 DM,4.0,delay in paying off in the past,education,276.0,A63,... < 1 year,1.0,male : divorced/separated,co-applicant,2.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,for free,1.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.843
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,retraining,276.0,A65,4 <= ... < 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,31.0,none,rent,2.0,skilled employee / official,1.0,none,no,0.858
0 <= ... < 200 DM,38.0,existing credits paid back duly till now,retraining,7798.0,A65,.. >= 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,55.0,none,own,4.0,skilled employee / official,1.0,none,yes,0.734
no checking account,22.0,delay in paying off in the past,furniture/equipment,276.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,bank,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.821
0 <= ... < 200 DM,59.0,all credits at this bank paid back duly,retraining,15218.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.85
... < 0 DM,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.018
... >= 200 DM / salary assignments for at least 1 year,13.0,existing credits paid back duly till now,repairs,456.0,A64,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,26.0,bank,for free,1.0,unskilled - resident,2.0,none,no,0.179
no checking account,60.0,critical account/ other credits existing (not at this bank),domestic appliances,13738.0,A62,unemployed,1.0,male : single,none,1.0,real estate,19.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.067
... < 0 DM,34.0,all credits at this bank paid back duly,car (used),6342.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,53.0,bank,for free,2.0,unskilled - resident,2.0,none,yes,0.132
... < 0 DM,60.0,all credits at this bank paid back duly,car (new),15945.0,A61,4 <= ... < 7 years,4.0,male : single,none,4.0,unknown / no property,75.0,stores,own,2.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.082
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),1844.0,A62,1 <= ... < 4 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,unskilled - resident,1.0,none,yes,0.052
... < 0 DM,41.0,existing credits paid back duly till now,radio/television,6615.0,A61,unemployed,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",47.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.052
no checking account,60.0,existing credits paid back duly till now,car (used),12364.0,A61,unemployed,3.0,female : divorced/separated/married,co-applicant,4.0,unknown / no property,62.0,bank,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.054
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,1 <= ... < 4 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.018
no checking account,20.0,delay in paying off in the past,business,1544.0,A62,.. >= 7 years,3.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,rent,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.166
0 <= ... < 200 DM,37.0,no credits taken/ all credits paid back duly,radio/television,6614.0,A62,unemployed,4.0,female : divorced/separated/married,none,4.0,real estate,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.075
0 <= ... < 200 DM,58.0,critical account/ other credits existing (not at this bank),business,12425.0,A64,1 <= ... < 4 years,4.0,male : married/widowed,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",44.0,none,rent,2.0,unskilled - resident,2.0,none,yes,0.229
no checking account,60.0,no credits taken/ all credits paid back duly,business,15945.0,A62,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,unknown / no property,75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.035
no checking account,4.0,delay in paying off in the past,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.865
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,car (new),276.0,A63,... < 1 year,4.0,male : single,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,40.0,none,rent,1.0,skilled employee / official,1.0,none,no,0.792
no checking account,24.0,existing credits paid back duly till now,retraining,2332.0,A65,1 <= ... < 4 years,4.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,63.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.826
no checking account,47.0,existing credits paid back duly till now,car (new),8184.0,A65,... < 1 year,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.708
no checking account,4.0,existing credits paid back duly till now,others,276.0,A62,unemployed,1.0,male : single,co-applicant,1.0,real estate,19.0,bank,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.047
... < 0 DM,10.0,no credits taken/ all credits paid back duly,radio/television,276.0,A64,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,2.0,real estate,19.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,no,0.162
... >= 200 DM / salary assignments for at least 1 year,30.0,critical account/ other credits existing (not at this bank),education,5620.0,A61,unemployed,4.0,female : divorced/separated/married,none,4.0,unknown / no property,19.0,bank,rent,1.0,unskilled - resident,2.0,none,yes,0.119
... < 0 DM,51.0,existing credits paid back duly till now,furniture/equipment,11302.0,A61,... < 1 year,4.0,male : single,co-applicant,4.0,real estate,40.0,none,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.272
... < 0 DM,60.0,no credits taken/ all credits paid back duly,domestic appliances,15945.0,A62,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,unknown / no property,75.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.047
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,for free,4.0,skilled employee / official,1.0,none,no,0.839
... < 0 DM,4.0,delay in paying off in the past,furniture/equipment,276.0,A63,4 <= ... < 7 years,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,20.0,none,rent,2.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.792
no checking account,24.0,existing credits paid back duly till now,education,3074.0,A61,.. >= 7 years,4.0,male : single,none,4.0,real estate,42.0,none,for free,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.659
no checking account,45.0,existing credits paid back duly till now,furniture/equipment,7752.0,A63,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,68.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.647
0 <= ... < 200 DM,60.0,delay in paying off in the past,furniture/equipment,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.876
no checking account,20.0,delay in paying off in the past,repairs,1369.0,A61,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,real estate,19.0,none,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.23
... < 0 DM,36.0,no credits taken/ all credits paid back duly,domestic appliances,5709.0,A62,unemployed,3.0,male : married/widowed,co-applicant,3.0,real estate,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.058
no checking account,55.0,existing credits paid back duly till now,car (used),10886.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,38.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.069
0 <= ... < 200 DM,4.0,delay in paying off in the past,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,co-applicant,1.0,if not A121 : building society savings agreement/ life insurance,24.0,none,for free,2.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.863
0 <= ... < 200 DM,5.0,critical account/ other credits existing (not at this bank),car (new),276.0,A63,unemployed,2.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",60.0,stores,for free,3.0,unemployed/ unskilled - non-resident,1.0,none,no,0.748
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),5535.0,A61,unemployed,3.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.761
... >= 200 DM / salary assignments for at least 1 year,60.0,delay in paying off in the past,retraining,1167.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.889
... < 0 DM,60.0,delay in paying off in the past,car (new),15945.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.748
... < 0 DM,43.0,critical account/ other credits existing (not at this bank),furniture/equipment,7680.0,A62,1 <= ... < 4 years,4.0,male : single,co-applicant,4.0,real estate,39.0,none,own,2.0,skilled employee / official,2.0,none,yes,0.185
... >= 200 DM / salary assignments for at least 1 year,7.0,critical account/ other credits existing (not at this bank),business,1434.0,A61,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,unknown / no property,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.204
no checking account,23.0,delay in paying off in the past,radio/television,5205.0,A65,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,1.0,real estate,28.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.059
0 <= ... < 200 DM,42.0,existing credits paid back duly till now,car (used),10112.0,A65,1 <= ... < 4 years,3.0,male : married/widowed,co-applicant,1.0,unknown / no property,47.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.119
no checking account,5.0,critical account/ other credits existing (not at this bank),business,1951.0,A61,4 <= ... < 7 years,2.0,female : divorced/separated/married,co-applicant,1.0,real estate,19.0,stores,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",no,0.097
... < 0 DM,21.0,all credits at this bank paid back duly,radio/television,6569.0,A64,.. >= 7 years,3.0,female : divorced/separated/married,none,2.0,"if not A121/A122 : car or other, not in attribute 6",30.0,none,own,1.0,unskilled - resident,1.0,none,yes,0.313
... < 0 DM,60.0,no credits taken/ all credits paid back duly,car (new),15945.0,A61,1 <= ... < 4 years,4.0,male : single,co-applicant,3.0,unknown / no property,45.0,none,own,3.0,skilled employee / official,1.0,none,yes,0.255
no checking account,32.0,critical account/ other credits existing (not at this bank),car (new),10434.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,co-applicant,4.0,real estate,75.0,bank,own,4.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.103
no checking account,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,... < 1 year,1.0,male : divorced/separated,co-applicant,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.801
no checking account,18.0,all credits at this bank paid back duly,car (new),1883.0,A64,.. >= 7 years,4.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,25.0,none,for free,2.0,skilled employee / official,1.0,none,no,0.766
... < 0 DM,35.0,existing credits paid back duly till now,furniture/equipment,7592.0,A65,... < 1 year,1.0,male : divorced/separated,none,3.0,real estate,36.0,none,for free,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.798
no checking account,53.0,all credits at this bank paid back duly,car (new),12585.0,A61,1 <= ... < 4 years,1.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,3.0,skilled employee / official,1.0,none,yes,0.797
no checking account,60.0,existing credits paid back duly till now,furniture/equipment,15945.0,A64,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,49.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.798
no checking account,5.0,critical account/ other credits existing (not at this bank),business,1952.0,A61,4 <= ... < 7 years,2.0,female : divorced/separated/married,co-applicant,1.0,real estate,19.0,stores,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",no,0.097
... < 0 DM,21.0,all credits at this bank paid back duly,radio/television,6570.0,A64,.. >= 7 years,3.0,female : divorced/separated/married,none,2.0,"if not A121/A122 : car or other, not in attribute 6",30.0,none,own,1.0,unskilled - resident,1.0,none,yes,0.312
no checking account,4.0,critical account/ other credits existing (not at this bank),furniture/equipment,1680.0,A65,.. >= 7 years,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.704
no checking account,43.0,all credits at this bank paid back duly,car (new),8335.0,A63,... < 1 year,1.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,40.0,none,for free,3.0,unskilled - resident,1.0,none,yes,0.822
0 <= ... < 200 DM,6.0,delay in paying off in the past,car (new),276.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,rent,3.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.902
0 <= ... < 200 DM,60.0,critical account/ other credits existing (not at this bank),car (new),13764.0,A65,.. >= 7 years,2.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.811
no checking account,60.0,existing credits paid back duly till now,retraining,15644.0,A63,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.784
no checking account,27.0,critical account/ other credits existing (not at this bank),repairs,5258.0,A62,unemployed,2.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,34.0,bank,own,2.0,skilled employee / official,1.0,none,yes,0.146
0 <= ... < 200 DM,30.0,existing credits paid back duly till now,radio/television,4367.0,A61,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,2.0,"if not A121/A122 : car or other, not in attribute 6",26.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.247
... < 0 DM,51.0,existing credits paid back duly till now,car (new),10612.0,A61,unemployed,3.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",44.0,bank,own,1.0,unskilled - resident,2.0,none,yes,0.112
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,car (new),276.0,A63,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,stores,rent,2.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.78
... >= 200 DM / salary assignments for at least 1 year,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,4 <= ... < 7 years,4.0,male : single,guarantor,2.0,"if not A121/A122 : car or other, not in attribute 6",21.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.821
no checking account,13.0,existing credits paid back duly till now,retraining,1991.0,A64,.. >= 7 years,4.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",48.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.779
no checking account,36.0,all credits at this bank paid back duly,car (new),7902.0,A61,4 <= ... < 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,67.0,none,rent,4.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.774
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,furniture/equipment,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.825
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,others,276.0,A62,.. >= 7 years,2.0,male : married/widowed,co-applicant,1.0,real estate,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.026
no checking account,15.0,critical account/ other credits existing (not at this bank),business,815.0,A61,1 <= ... < 4 years,4.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,1.0,skilled employee / official,2.0,none,yes,0.241
0 <= ... < 200 DM,32.0,existing credits paid back duly till now,car (used),5920.0,A62,1 <= ... < 4 years,1.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,36.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.106
0 <= ... < 200 DM,54.0,existing credits paid back duly till now,business,12425.0,A61,unemployed,4.0,male : married/widowed,none,3.0,"if not A121/A122 : car or other, not in attribute 6",53.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.21
... < 0 DM,60.0,all credits at this bank paid back duly,business,15945.0,A61,1 <= ... < 4 years,4.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,4.0,unemployed/ unskilled - non-resident,2.0,none,yes,0.136
... < 0 DM,32.0,all credits at this bank paid back duly,others,5595.0,A64,.. >= 7 years,1.0,male : single,guarantor,1.0,unknown / no property,21.0,bank,for free,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.182
no checking account,48.0,no credits taken/ all credits paid back duly,business,10125.0,A62,1 <= ... < 4 years,2.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,40.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.052
no checking account,60.0,critical account/ other credits existing (not at this bank),car (new),15743.0,A63,unemployed,3.0,male : married/widowed,none,3.0,real estate,56.0,bank,for free,1.0,skilled employee / official,2.0,none,yes,0.193
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,20.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.828
no checking account,5.0,critical account/ other credits existing (not at this bank),education,1110.0,A65,.. >= 7 years,1.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",54.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.77
... < 0 DM,21.0,delay in paying off in the past,car (new),6082.0,A63,... < 1 year,1.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.771
no checking account,43.0,critical account/ other credits existing (not at this bank),furniture/equipment,12133.0,A65,.. >= 7 years,1.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.723
0 <= ... < 200 DM,60.0,delay in paying off in the past,retraining,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.858
... < 0 DM,4.0,all credits at this bank paid back duly,repairs,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.02
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,business,276.0,A64,.. >= 7 years,3.0,male : single,none,2.0,real estate,19.0,stores,own,1.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.11
... < 0 DM,21.0,no credits taken/ all credits paid back duly,repairs,4109.0,A61,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,real estate,29.0,none,own,2.0,skilled employee / official,1.0,none,yes,0.291
... < 0 DM,44.0,critical account/ other credits existing (not at this bank),radio/television,9881.0,A62,unemployed,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,50.0,none,own,2.0,skilled employee / official,2.0,none,yes,0.068
0 <= ... < 200 DM,60.0,no credits taken/ all credits paid back duly,repairs,15945.0,A61,4 <= ... < 7 years,4.0,male : single,none,4.0,real estate,75.0,bank,own,4.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.092
no checking account,4.0,delay in paying off in the past,car (new),276.0,A64,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.745
... < 0 DM,12.0,existing credits paid back duly till now,furniture/equipment,276.0,A63,4 <= ... < 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",30.0,none,rent,1.0,skilled employee / official,1.0,none,no,0.748
0 <= ... < 200 DM,36.0,all credits at this bank paid back duly,retraining,276.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,53.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.908
no checking account,55.0,existing credits paid back duly till now,car (new),5971.0,A63,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",71.0,none,for free,3.0,skilled employee / official,1.0,none,yes,0.731
0 <= ... < 200 DM,60.0,delay in paying off in the past,retraining,15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.872
... < 0 DM,21.0,no credits taken/ all credits paid back duly,repairs,4105.0,A61,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,real estate,29.0,none,own,2.0,skilled employee / official,1.0,none,yes,0.291
... < 0 DM,44.0,critical account/ other credits existing (not at this bank),radio/television,9878.0,A62,unemployed,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,50.0,none,own,2.0,skilled employee / official,2.0,none,yes,0.068
no checking account,34.0,existing credits paid back duly till now,car (new),6400.0,A61,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,51.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.806
no checking account,4.0,existing credits paid back duly till now,car (used),276.0,A62,.. >= 7 years,1.0,male : single,guarantor,1.0,unknown / no property,19.0,stores,own,1.0,skilled employee / official,1.0,none,yes,0.137
