status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
no checking account,48.0,no credits taken/ all credits paid back duly,business,10126.0,A62,1 <= ... < 4 years,2.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,40.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.052
no checking account,60.0,critical account/ other credits existing (not at this bank),car (new),15746.0,A63,unemployed,3.0,male : married/widowed,none,3.0,real estate,56.0,bank,for free,1.0,skilled employee / official,2.0,none,yes,0.193
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,others,15945.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,75.0,bank,own,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.092
no checking account,17.0,delay in paying off in the past,car (new),2872.0,A64,... < 1 year,4.0,male : divorced/separated,none,3.0,if not A121 : building society savings agreement/ life insurance,45.0,none,for free,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.844
... < 0 DM,34.0,existing credits paid back duly till now,radio/television,5611.0,A61,unemployed,4.0,male : married/widowed,none,3.0,"if not A121/A122 : car or other, not in attribute 6",54.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.101
... >= 200 DM / salary assignments for at least 1 year,26.0,critical account/ other credits existing (not at this bank),radio/television,5542.0,A62,unemployed,4.0,male : single,none,2.0,real estate,29.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.061
no checking account,10.0,no credits taken/ all credits paid back duly,others,3232.0,A62,unemployed,1.0,male : single,co-applicant,2.0,real estate,27.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.022
... < 0 DM,4.0,existing credits paid back duly till now,car (used),9518.0,A61,.. >= 7 years,1.0,male : single,none,3.0,unknown / no property,49.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.03
... < 0 DM,27.0,existing credits paid back duly till now,car (new),15945.0,A61,.. >= 7 years,1.0,male : single,none,4.0,unknown / no property,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.081
... >= 200 DM / salary assignments for at least 1 year,60.0,no credits taken/ all credits paid back duly,business,15945.0,A62,unemployed,4.0,male : married/widowed,co-applicant,1.0,real estate,19.0,stores,rent,4.0,unskilled - resident,2.0,none,no,0.048
no checking account,56.0,critical account/ other credits existing (not at this bank),car (new),15945.0,A63,4 <= ... < 7 years,3.0,male : married/widowed,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,for free,3.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.221
no checking account,4.0,delay in paying off in the past,car (new),276.0,A63,... < 1 year,1.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.859
0 <= ... < 200 DM,16.0,existing credits paid back duly till now,education,276.0,A61,.. >= 7 years,4.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",27.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.781
0 <= ... < 200 DM,36.0,all credits at this bank paid back duly,furniture/equipment,3674.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,2.0,if not A121 : building society savings agreement/ life insurance,43.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.873
0 <= ... < 200 DM,54.0,existing credits paid back duly till now,retraining,8587.0,A61,... < 1 year,4.0,female : divorced/separated/married,none,3.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,3.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.82
no checking account,60.0,all credits at this bank paid back duly,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,45.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.826
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,1.0,female : divorced/separated/married,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.019
... < 0 DM,36.0,existing credits paid back duly till now,business,1267.0,A61,.. >= 7 years,2.0,female : divorced/separated/married,none,2.0,real estate,19.0,bank,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",yes,0.153
... < 0 DM,52.0,critical account/ other credits existing (not at this bank),radio/television,5777.0,A61,1 <= ... < 4 years,3.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",19.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.077
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,business,12433.0,A61,unemployed,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,43.0,none,rent,1.0,skilled employee / official,2.0,none,yes,0.176
... < 0 DM,60.0,delay in paying off in the past,radio/television,15945.0,A62,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,real estate,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.021
... >= 200 DM / salary assignments for at least 1 year,4.0,existing credits paid back duly till now,car (used),276.0,A62,4 <= ... < 7 years,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.034
no checking account,20.0,delay in paying off in the past,repairs,1367.0,A61,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,real estate,19.0,none,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.23
... < 0 DM,36.0,no credits taken/ all credits paid back duly,domestic appliances,5707.0,A62,unemployed,3.0,male : married/widowed,co-applicant,3.0,real estate,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.058
no checking account,55.0,existing credits paid back duly till now,car (used),10887.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,38.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.069
no checking account,60.0,no credits taken/ all credits paid back duly,radio/television,15945.0,A62,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,real estate,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.019
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,1 <= ... < 4 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.018
no checking account,20.0,delay in paying off in the past,business,1542.0,A62,.. >= 7 years,3.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,rent,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.166
0 <= ... < 200 DM,37.0,no credits taken/ all credits paid back duly,radio/television,6612.0,A62,unemployed,4.0,female : divorced/separated/married,none,4.0,real estate,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.075
0 <= ... < 200 DM,58.0,critical account/ other credits existing (not at this bank),business,12425.0,A64,1 <= ... < 4 years,4.0,male : married/widowed,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",44.0,none,rent,2.0,unskilled - resident,2.0,none,yes,0.229
no checking account,60.0,no credits taken/ all credits paid back duly,business,15945.0,A62,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,unknown / no property,75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.035
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,unknown / no property,19.0,none,rent,4.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.82
... >= 200 DM / salary assignments for at least 1 year,4.0,existing credits paid back duly till now,car (new),276.0,A63,4 <= ... < 7 years,1.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,19.0,stores,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.758
no checking account,10.0,delay in paying off in the past,car (new),276.0,A64,4 <= ... < 7 years,2.0,male : divorced/separated,none,2.0,"if not A121/A122 : car or other, not in attribute 6",49.0,bank,for free,3.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.746
0 <= ... < 200 DM,34.0,critical account/ other credits existing (not at this bank),retraining,276.0,A63,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,4.0,real estate,73.0,none,rent,4.0,unskilled - resident,1.0,none,yes,0.84
no checking account,60.0,critical account/ other credits existing (not at this bank),car (new),15528.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unskilled - resident,1.0,none,yes,0.8
no checking account,4.0,existing credits paid back duly till now,others,276.0,A62,unemployed,1.0,male : single,co-applicant,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.064
... < 0 DM,10.0,no credits taken/ all credits paid back duly,radio/television,276.0,A64,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,2.0,real estate,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,no,0.109
... >= 200 DM / salary assignments for at least 1 year,30.0,critical account/ other credits existing (not at this bank),education,5626.0,A61,unemployed,4.0,female : divorced/separated/married,none,4.0,real estate,19.0,bank,rent,1.0,unskilled - resident,2.0,none,yes,0.124
... < 0 DM,51.0,existing credits paid back duly till now,furniture/equipment,11310.0,A61,... < 1 year,4.0,male : single,co-applicant,4.0,real estate,40.0,none,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.272
0 <= ... < 200 DM,23.0,no credits taken/ all credits paid back duly,car (used),6092.0,A61,4 <= ... < 7 years,3.0,female : divorced/separated/married,guarantor,4.0,real estate,19.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.105
... < 0 DM,38.0,critical account/ other credits existing (not at this bank),furniture/equipment,9916.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.117
... < 0 DM,4.0,existing credits paid back duly till now,business,276.0,A61,... < 1 year,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.779
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,furniture/equipment,276.0,A63,1 <= ... < 4 years,2.0,male : divorced/separated,guarantor,4.0,unknown / no property,40.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.712
... >= 200 DM / salary assignments for at least 1 year,24.0,delay in paying off in the past,car (new),2547.0,A65,.. >= 7 years,3.0,male : divorced/separated,none,4.0,unknown / no property,56.0,none,for free,2.0,skilled employee / official,1.0,none,no,0.796
... >= 200 DM / salary assignments for at least 1 year,48.0,existing credits paid back duly till now,furniture/equipment,9450.0,A61,... < 1 year,4.0,male : divorced/separated,none,4.0,unknown / no property,75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.773
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,furniture/equipment,15945.0,A65,4 <= ... < 7 years,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,60.0,none,rent,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.823
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,car (used),276.0,A62,1 <= ... < 4 years,1.0,male : married/widowed,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.334
... < 0 DM,60.0,delay in paying off in the past,radio/television,1601.0,A62,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,1.0,real estate,19.0,stores,for free,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.084
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,8046.0,A62,1 <= ... < 4 years,2.0,male : married/widowed,none,2.0,"if not A121/A122 : car or other, not in attribute 6",33.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.253
0 <= ... < 200 DM,60.0,critical account/ other credits existing (not at this bank),radio/television,15945.0,A64,unemployed,4.0,male : married/widowed,none,4.0,real estate,75.0,none,own,4.0,skilled employee / official,2.0,none,yes,0.12
no checking account,60.0,existing credits paid back duly till now,business,14526.0,A63,1 <= ... < 4 years,4.0,male : single,co-applicant,4.0,unknown / no property,53.0,bank,rent,2.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.097
... < 0 DM,54.0,existing credits paid back duly till now,radio/television,9172.0,A65,unemployed,4.0,male : married/widowed,none,4.0,real estate,45.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.083
no checking account,60.0,critical account/ other credits existing (not at this bank),domestic appliances,13182.0,A62,.. >= 7 years,1.0,male : single,none,1.0,unknown / no property,19.0,none,own,1.0,unskilled - resident,1.0,none,yes,0.136
... < 0 DM,36.0,no credits taken/ all credits paid back duly,car (new),5004.0,A61,unemployed,4.0,female : divorced/separated/married,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,2.0,unskilled - resident,2.0,none,yes,0.248
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,car (new),276.0,A63,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.782
no checking account,4.0,existing credits paid back duly till now,retraining,276.0,A65,.. >= 7 years,4.0,female : divorced/separated/married,guarantor,1.0,real estate,23.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.739
... >= 200 DM / salary assignments for at least 1 year,33.0,all credits at this bank paid back duly,car (new),276.0,A64,1 <= ... < 4 years,1.0,male : divorced/separated,none,3.0,if not A121 : building society savings agreement/ life insurance,48.0,none,rent,4.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.805
no checking account,60.0,existing credits paid back duly till now,furniture/equipment,5862.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,3.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,3.0,skilled employee / official,1.0,none,yes,0.818
no checking account,37.0,existing credits paid back duly till now,car (new),15909.0,A64,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,53.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.817
0 <= ... < 200 DM,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : single,none,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.021
... < 0 DM,33.0,existing credits paid back duly till now,repairs,2128.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,real estate,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.308
no checking account,54.0,critical account/ other credits existing (not at this bank),radio/television,7824.0,A62,unemployed,2.0,male : single,none,2.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.103
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),13373.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,unknown / no property,40.0,none,rent,1.0,skilled employee / official,2.0,none,yes,0.207
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,15945.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,guarantor,4.0,real estate,75.0,stores,own,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.236
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A63,.. >= 7 years,1.0,male : divorced/separated,co-applicant,1.0,if not A121 : building society savings agreement/ life insurance,20.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.811
... < 0 DM,4.0,delay in paying off in the past,car (new),276.0,A65,... < 1 year,1.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.805
no checking account,16.0,existing credits paid back duly till now,retraining,5204.0,A64,4 <= ... < 7 years,2.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",40.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.757
no checking account,37.0,existing credits paid back duly till now,car (used),11634.0,A65,... < 1 year,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,55.0,none,rent,2.0,unskilled - resident,1.0,none,yes,0.684
0 <= ... < 200 DM,60.0,delay in paying off in the past,education,15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,3.0,skilled employee / official,1.0,none,no,0.851
no checking account,20.0,delay in paying off in the past,repairs,1368.0,A61,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,real estate,19.0,none,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.23
... < 0 DM,36.0,no credits taken/ all credits paid back duly,domestic appliances,5709.0,A62,unemployed,3.0,male : married/widowed,co-applicant,3.0,real estate,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.058
... < 0 DM,7.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.8
no checking account,4.0,all credits at this bank paid back duly,furniture/equipment,276.0,A64,1 <= ... < 4 years,2.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,41.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.708
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,education,2835.0,A61,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,61.0,none,for free,4.0,unskilled - resident,1.0,none,no,0.864
no checking account,43.0,existing credits paid back duly till now,furniture/equipment,7485.0,A63,.. >= 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.777
... < 0 DM,60.0,delay in paying off in the past,furniture/equipment,15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,skilled employee / official,1.0,none,no,0.851
0 <= ... < 200 DM,4.0,delay in paying off in the past,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.856
... < 0 DM,4.0,all credits at this bank paid back duly,education,276.0,A65,... < 1 year,4.0,male : single,guarantor,2.0,real estate,28.0,none,rent,2.0,unemployed/ unskilled - non-resident,1.0,none,no,0.838
0 <= ... < 200 DM,14.0,delay in paying off in the past,car (new),1975.0,A63,1 <= ... < 4 years,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",56.0,none,own,2.0,unskilled - resident,1.0,none,yes,0.696
... < 0 DM,33.0,existing credits paid back duly till now,furniture/equipment,8003.0,A65,... < 1 year,4.0,male : single,none,4.0,real estate,75.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.843
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,50.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.825
... >= 200 DM / salary assignments for at least 1 year,4.0,existing credits paid back duly till now,car (used),276.0,A62,unemployed,1.0,female : divorced/separated/married,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.027
... < 0 DM,5.0,critical account/ other credits existing (not at this bank),car (used),4379.0,A61,.. >= 7 years,1.0,male : single,none,3.0,real estate,28.0,bank,for free,1.0,skilled employee / official,2.0,none,no,0.175
no checking account,21.0,no credits taken/ all credits paid back duly,radio/television,9152.0,A62,1 <= ... < 4 years,1.0,male : single,none,4.0,unknown / no property,48.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.039
... < 0 DM,44.0,existing credits paid back duly till now,car (used),15017.0,A65,unemployed,1.0,female : divorced/separated/married,co-applicant,4.0,if not A121 : building society savings agreement/ life insurance,69.0,stores,for free,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.261
... >= 200 DM / salary assignments for at least 1 year,60.0,no credits taken/ all credits paid back duly,car (used),15945.0,A64,.. >= 7 years,4.0,male : single,none,4.0,real estate,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.017
0 <= ... < 200 DM,4.0,critical account/ other credits existing (not at this bank),retraining,276.0,A63,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.848
... < 0 DM,12.0,existing credits paid back duly till now,car (new),1154.0,A61,4 <= ... < 7 years,4.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",23.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.787
no checking account,26.0,delay in paying off in the past,car (used),4477.0,A65,... < 1 year,1.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,rent,2.0,skilled employee / official,1.0,none,yes,0.717
... < 0 DM,46.0,critical account/ other credits existing (not at this bank),education,10468.0,A65,4 <= ... < 7 years,1.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,41.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.77
... < 0 DM,60.0,delay in paying off in the past,education,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",70.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.876
no checking account,36.0,critical account/ other credits existing (not at this bank),furniture/equipment,10974.0,A61,unemployed,4.0,male : married/widowed,co-applicant,1.0,unknown / no property,26.0,none,own,2.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.098
... < 0 DM,4.0,delay in paying off in the past,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.859
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,car (new),276.0,A63,... < 1 year,2.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,1.0,unskilled - resident,1.0,none,no,0.777
... >= 200 DM / salary assignments for at least 1 year,18.0,existing credits paid back duly till now,retraining,2595.0,A61,4 <= ... < 7 years,3.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",42.0,none,rent,4.0,unskilled - resident,1.0,none,yes,0.83
0 <= ... < 200 DM,37.0,existing credits paid back duly till now,radio/television,8428.0,A61,... < 1 year,4.0,female : divorced/separated/married,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,58.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.744
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.863
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.013
no checking account,32.0,critical account/ other credits existing (not at this bank),radio/television,276.0,A62,.. >= 7 years,3.0,male : single,guarantor,3.0,real estate,19.0,stores,rent,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.144
... < 0 DM,50.0,existing credits paid back duly till now,car (used),4874.0,A61,1 <= ... < 4 years,4.0,male : married/widowed,guarantor,4.0,unknown / no property,19.0,bank,own,1.0,skilled employee / official,2.0,none,yes,0.08
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,11959.0,A62,unemployed,4.0,male : single,none,4.0,real estate,43.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.068
... >= 200 DM / salary assignments for at least 1 year,60.0,critical account/ other credits existing (not at this bank),car (used),15945.0,A62,1 <= ... < 4 years,4.0,male : single,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,bank,rent,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.114
0 <= ... < 200 DM,4.0,delay in paying off in the past,retraining,276.0,A63,... < 1 year,1.0,male : divorced/separated,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,3.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.831
... < 0 DM,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A63,4 <= ... < 7 years,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.882
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,education,276.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,1.0,real estate,44.0,stores,rent,2.0,unskilled - resident,1.0,none,yes,0.785
0 <= ... < 200 DM,34.0,existing credits paid back duly till now,retraining,5450.0,A63,... < 1 year,1.0,male : divorced/separated,guarantor,2.0,real estate,55.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.899
0 <= ... < 200 DM,60.0,delay in paying off in the past,retraining,15544.0,A63,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.892
... < 0 DM,33.0,existing credits paid back duly till now,repairs,2134.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,real estate,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.308
no checking account,54.0,critical account/ other credits existing (not at this bank),radio/television,7827.0,A62,unemployed,2.0,male : single,none,2.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.103
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),13374.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,unknown / no property,40.0,none,rent,1.0,skilled employee / official,2.0,none,yes,0.207
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,.. >= 7 years,1.0,male : single,co-applicant,1.0,real estate,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.017
